[31-Jul-2021 06:00:53 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\includes\theme.php on line 605
[31-Jul-2021 06:00:53 UTC] PHP Stack trace:
[31-Jul-2021 06:00:53 UTC] PHP   1. {main}() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\admin-ajax.php:0
[31-Jul-2021 06:00:53 UTC] PHP   2. do_action() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\admin-ajax.php:187
[31-Jul-2021 06:00:53 UTC] PHP   3. WP_Hook->do_action() C:\Users\ASUS\Local Sites\tester\app\public\wp-includes\plugin.php:470
[31-Jul-2021 06:00:53 UTC] PHP   4. WP_Hook->apply_filters() C:\Users\ASUS\Local Sites\tester\app\public\wp-includes\class-wp-hook.php:327
[31-Jul-2021 06:00:53 UTC] PHP   5. wp_ajax_query_themes() C:\Users\ASUS\Local Sites\tester\app\public\wp-includes\class-wp-hook.php:303
[31-Jul-2021 06:00:53 UTC] PHP   6. themes_api() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\includes\ajax-actions.php:3551
[31-Jul-2021 06:14:26 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\includes\plugin-install.php on line 183
[31-Jul-2021 06:14:26 UTC] PHP Stack trace:
[31-Jul-2021 06:14:26 UTC] PHP   1. {main}() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\themes.php:0
[31-Jul-2021 06:14:26 UTC] PHP   2. require_once() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\themes.php:10
[31-Jul-2021 06:14:26 UTC] PHP   3. do_action() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\admin.php:259
[31-Jul-2021 06:14:26 UTC] PHP   4. WP_Hook->do_action() C:\Users\ASUS\Local Sites\tester\app\public\wp-includes\plugin.php:470
[31-Jul-2021 06:14:26 UTC] PHP   5. WP_Hook->apply_filters() C:\Users\ASUS\Local Sites\tester\app\public\wp-includes\class-wp-hook.php:327
[31-Jul-2021 06:14:26 UTC] PHP   6. TGM_Plugin_Activation->install_plugins_page() C:\Users\ASUS\Local Sites\tester\app\public\wp-includes\class-wp-hook.php:303
[31-Jul-2021 06:14:26 UTC] PHP   7. TGM_Plugin_Activation->do_plugin_install() C:\Users\ASUS\Local Sites\tester\app\public\wp-content\themes\tastypress\inc\tgm-plugin\class-tgm-plugin-activation.php:658
[31-Jul-2021 06:14:26 UTC] PHP   8. TGM_Plugin_Activation->get_download_url() C:\Users\ASUS\Local Sites\tester\app\public\wp-content\themes\tastypress\inc\tgm-plugin\class-tgm-plugin-activation.php:757
[31-Jul-2021 06:14:26 UTC] PHP   9. TGM_Plugin_Activation->get_wp_repo_download_url() C:\Users\ASUS\Local Sites\tester\app\public\wp-content\themes\tastypress\inc\tgm-plugin\class-tgm-plugin-activation.php:1513
[31-Jul-2021 06:14:26 UTC] PHP  10. TGM_Plugin_Activation->get_plugins_api() C:\Users\ASUS\Local Sites\tester\app\public\wp-content\themes\tastypress\inc\tgm-plugin\class-tgm-plugin-activation.php:1533
[31-Jul-2021 06:14:26 UTC] PHP  11. plugins_api() C:\Users\ASUS\Local Sites\tester\app\public\wp-content\themes\tastypress\inc\tgm-plugin\class-tgm-plugin-activation.php:1558
[31-Jul-2021 06:14:26 UTC] PHP  12. trigger_error() C:\Users\ASUS\Local Sites\tester\app\public\wp-admin\includes\plugin-install.php:183
